id,time,side,grade,confidence,pattern,entry,sl,tp1,rng10,body_p,htf,result,exit,pips
1780881201,2026-06-08 03:13,SHORT,A+,,CRT sweep+reclaim,1.33454,,,14,4,"1.33641 (15m+4H+D, x3)",auto-skip,0.26,neg R:R 0.26 (TP1 < 0.8×SL)
1780881319,2026-06-08 03:15,SHORT,observe,,momentum impulse,1.33413,,,13,3,"1.33641 (15m+4H+D, x3)",auto-skip,,observation-only
1780882097,2026-06-08 03:28,SHORT,A+,,VWAP rejection,1.33292,,,21,8,"1.33641 (15m+4H+D, x3)",auto-skip,0.24,neg R:R 0.24 (TP1 < 0.8×SL); dead chop ER0.07 (<0.2)
1780882162,2026-06-08 03:29,SHORT,A+,,VWAP rejection,1.3329,,,23,8,"1.33641 (15m+4H+D, x3)",auto-skip,0.24,neg R:R 0.24 (TP1 < 0.8×SL); dead chop ER0.06 (<0.2)
1780882277,2026-06-08 03:31,SHORT,observe,,momentum impulse,1.33204,,,32,9,"1.33641 (15m+4H+D, x3)",auto-skip,,observation-only
1780882948,2026-06-08 03:42,LONG,A+,,PDL liq sweep,1.33324,,,32,5,"1.33357 (15m+PDL, x6)",auto-skip,0.66,neg R:R 0.66 (TP1 < 0.8×SL); dead chop ER0.17 (<0.2)
1780883191,2026-06-08 03:46,LONG,A+,,CRT sweep+reclaim,1.33362,,,32,2,"1.33357 (15m+PDL, x6)",auto-skip,0.37,neg R:R 0.37 (TP1 < 0.8×SL); dead chop ER0.19 (<0.2)
1780887601,2026-06-08 05:00,SHORT,A+,,CRT sweep+reclaim,1.33399,,,15,1,"1.33456 (15m+4H+D+PDL, x11)",auto-skip,0.3,neg R:R 0.30 (TP1 < 0.8×SL); dead chop ER0.06 (<0.2)
1780888232,2026-06-08 05:10,SHORT,A+,,CRT sweep+reclaim,1.33383,,,10,0,"1.33456 (15m+4H+D+PDL, x11)",auto-skip,0.28,neg R:R 0.28 (TP1 < 0.8×SL); dead chop ER0.02 (<0.2)
1780892252,2026-06-08 06:17,LONG,observe,,momentum impulse,1.33447,,,10,2,"1.33391 (15m+PDL, x9)",auto-skip,,observation-only
1780893881,2026-06-08 06:44,SHORT,A+,,support-trendline break,1.33388,,,8,4,"1.33676 (4H+D, x2)",auto-skip,0.24,neg R:R 0.24 (TP1 < 0.8×SL); dead chop ER0.07 (<0.2)
1780895598,2026-06-08 07:13,SHORT,observe,,momentum impulse,1.3341,,,7,2,"1.33676 (4H+D, x2)",auto-skip,,observation-only
1780898184,2026-06-08 07:56,SHORT,observe,,momentum impulse,1.33279,,,22,4,"1.33402 (15m+1H+PDL, x11)",auto-skip,,observation-only
1780898206,2026-06-08 07:56,SHORT,A+,,prior-day-low breakdown,1.33279,,,22,4,"1.33402 (15m+1H+PDL, x11)",auto-skip,0.24,neg R:R 0.24 (TP1 < 0.8×SL)
1780898298,2026-06-08 07:58,SHORT,A+,,prior-day-low breakdown,1.33263,,,23,6,"1.33402 (15m+1H+PDL, x11)",auto-skip,0.24,neg R:R 0.24 (TP1 < 0.8×SL)
1780898676,2026-06-08 08:04,SHORT,observe,,momentum impulse,1.33231,,,26,5,"1.33402 (15m+1H+PDL, x11)",auto-skip,,observation-only
1780899620,2026-06-08 08:20,LONG,A+,,CRT sweep+reclaim,1.33274,,,16,2,"1.33175 (15m+1H, x3)",auto-skip,0.38,neg R:R 0.38 (TP1 < 0.8×SL)
1780901060,2026-06-08 08:44,LONG,A,,CRT sweep+reclaim,1.33257,,,12,2,"1.33175 (15m+1H, x3)",auto-skip,0.4,neg R:R 0.40 (TP1 < 0.8×SL)
1780902258,2026-06-08 09:04,LONG,A+,,zone-bounce rejection,1.333,,,11,7,"1.33175 (15m+1H, x3)",auto-skip,0.32,neg R:R 0.32 (TP1 < 1.2×SL)
1780902739,2026-06-08 09:12,LONG,A+,,VWAP bounce,1.33348,,,15,5,"1.33175 (15m+1H, x3)",auto-skip,0.3,neg R:R 0.30 (TP1 < 1.2×SL); dead chop ER0.18 (<0.2)
1780903097,2026-06-08 09:18,LONG,observe,,momentum impulse,1.3342,,,22,6,"1.33175 (15m+1H, x3)",auto-skip,,observation-only
1780904299,2026-06-08 09:38,SHORT,A+,,CRT sweep+reclaim,1.3337,,,27,5,"1.3341 (15m+1H+PDL, x11)",auto-skip,0.34,neg R:R 0.34 (TP1 < 1.2×SL); dead chop ER0.06 (<0.2)
1780907358,2026-06-08 10:29,LONG,A+,,PDL liq sweep,1.33336,,,15,7,"1.33186 (15m+1H, x5)",auto-skip,0.28,neg R:R 0.28 (TP1 < 1.2×SL); dead chop ER0.04 (<0.2); counter-DOWN no-room
1780908318,2026-06-08 10:45,LONG,A+,,CRT sweep+reclaim,1.33292,,,13,1,"1.33186 (15m+1H, x5)",auto-skip,0.36,neg R:R 0.36 (TP1 < 1.2×SL); dead chop ER0.15 (<0.2)
1780911540,2026-06-08 11:39,LONG,A+,,liquidity-sweep reversal,1.3317,,,20,10,"1.33183 (15m+1H+4H, x6)",auto-skip,0.4,neg R:R 0.40 (TP1 < 1.2×SL); dead chop ER0.12 (<0.2)
1780911982,2026-06-08 11:46,LONG,A+,,CRT sweep+reclaim,1.33178,,,20,1,"1.33183 (15m+1H+4H, x6)",auto-skip,0.4,neg R:R 0.40 (TP1 < 1.2×SL); dead chop ER0.17 (<0.2)
1780913792,2026-06-08 12:16,SHORT,A+,,CRT sweep+reclaim,1.33298,,,27,2,"1.33421 (15m+1H+PDL, x11)",auto-skip,0.27,neg R:R 0.27 (TP1 < 1.2×SL)
1780914855,2026-06-08 12:34,LONG,A+,,resistance-trendline break,1.3338,,,23,7,"1.33186 (15m+1H, x5)",auto-skip,0.24,neg R:R 0.24 (TP1 < 1.2×SL); dead chop ER0.03 (<0.2)
1780917072,2026-06-08 13:11,LONG,observe,,momentum impulse,1.33542,,,28,8,"1.33433 (15m+1H+PDL, x10)",auto-skip,,observation-only
1780917094,2026-06-08 13:11,LONG,A+,,Asian-range breakout,1.33542,,,28,8,"1.33433 (15m+1H+PDL, x10)",auto-skip,0.25,neg R:R 0.25 (TP1 < 1.2×SL)
