id,time,side,grade,confidence,pattern,entry,sl,tp1,rng10,body_p,htf,result,exit,pips
1780911801,2026-06-08 11:43,LONG,A+,,zone-bounce rejection,50790.2,,,167,18,1H buy zone,auto-skip,0.24,neg R:R 0.24 (TP1 < 1.2×SL); counter-DOWN no-room
1780911987,2026-06-08 11:46,LONG,A+,,zone-bounce rejection,50806.7,,,167,12,1H buy zone,auto-skip,0.24,neg R:R 0.24 (TP1 < 1.2×SL); counter-DOWN no-room
1780912102,2026-06-08 11:48,LONG,A+,,zone-bounce rejection,50815.4,,,167,21,1H buy zone,auto-skip,0.24,neg R:R 0.24 (TP1 < 1.2×SL)
1780912164,2026-06-08 11:49,LONG,strict-reversal,,zone-bounce rejection,50820,,,167,25,1H buy zone,auto-skip,,strict reversal context: no stacked confluence or valid prior VA
1780912342,2026-06-08 11:52,LONG,strict-reversal,,zone-bounce rejection,50826.7,,,167,12,1H buy zone,auto-skip,,strict reversal context: no stacked confluence or valid prior VA
1780913245,2026-06-08 12:07,LONG,strict-reversal,,zone-bounce rejection,50823.8,,,125,22,"50819.6 (15m+1H+4H, x4)",auto-skip,,strict reversal context: no stacked confluence or valid prior VA
1780913369,2026-06-08 12:09,LONG,strict-reversal,,zone-bounce rejection,50829.9,,,125,28,"50819.6 (15m+1H+4H, x4)",auto-skip,,strict reversal context: no stacked confluence or valid prior VA
1780913616,2026-06-08 12:13,LONG,strict-reversal,,zone-bounce rejection,50832.2,,,125,14,"50819.6 (15m+1H+4H, x4)",auto-skip,,strict reversal context: no stacked confluence or valid prior VA
1780914889,2026-06-08 12:34,LONG,A+,,resistance-trendline break,50861.9,,,165,66,"50819.6 (15m+1H+4H, x4)",auto-skip,0.44,neg R:R 0.44 (TP1 < 1.2×SL)
1780914984,2026-06-08 12:36,SHORT,A+,,CRT sweep+reclaim,50846.8,,,174,22,EMA200,auto-skip,0.34,neg R:R 0.34 (TP1 < 1.2×SL)
1780915120,2026-06-08 12:38,SHORT,A+,,CRT sweep+reclaim,50856.1,,,174,12,EMA200,auto-skip,0.34,neg R:R 0.34 (TP1 < 1.2×SL)
1780915182,2026-06-08 12:39,SHORT,A+,,CRT sweep+reclaim,50847.6,,,174,21,EMA200,auto-skip,0.34,neg R:R 0.34 (TP1 < 1.2×SL)
1780915245,2026-06-08 12:40,SHORT,A+,,CRT sweep+reclaim,50844.3,,,174,8,Asian high,auto-skip,0.34,neg R:R 0.34 (TP1 < 1.2×SL)
1780915282,2026-06-08 12:41,SHORT,A+,,CRT sweep+reclaim,50849.8,,,174,3,EMA200,auto-skip,0.34,neg R:R 0.34 (TP1 < 1.2×SL)
1780915462,2026-06-08 12:44,SHORT,A+,,CRT sweep+reclaim,50849.1,,,174,4,EMA200,auto-skip,0.34,neg R:R 0.34 (TP1 < 1.2×SL)
1780915580,2026-06-08 12:46,SHORT,A+,,CRT sweep+reclaim,50846.5,,,174,2,EMA200,auto-skip,0.34,neg R:R 0.34 (TP1 < 1.2×SL)
1780915640,2026-06-08 12:47,SHORT,A+,,CRT sweep+reclaim,50830.9,,,174,17,4H SMC supply OB,auto-skip,0.24,neg R:R 0.24 (TP1 < 1.2×SL); dead chop ER0.19 (<0.2)
1780915762,2026-06-08 12:49,SHORT,A+,,CRT sweep+reclaim,50840.3,,,174,8,4H SMC supply OB,auto-skip,0.24,neg R:R 0.24 (TP1 < 1.2×SL)
1780915820,2026-06-08 12:50,SHORT,A+,,CRT sweep+reclaim,50835.8,,,135,2,4H SMC supply OB,auto-skip,0.24,neg R:R 0.24 (TP1 < 1.2×SL)
1780915884,2026-06-08 12:51,SHORT,A+,,CRT sweep+reclaim,50826.6,,,135,11,4H SMC supply OB,auto-skip,0.24,neg R:R 0.24 (TP1 < 1.2×SL)
