id,time,side,grade,pattern,entry,sl,tp1,rng10,body_p,htf,result,exit,pips
1780522300,2026-06-03 21:31,SHORT,(reconstructed),"(pre-log, from TG alerts)",4446.0,,4441.0,,,,TP2,4436.0,100
1780524990,2026-06-03 22:16,SHORT,A,momentum impulse,4426.48,4429.98,4421.48,124,24,S 4426-34 (1H+15m multi-touch),superseded,4425.15,13
1780525246,2026-06-03 22:20,SHORT,A,momentum impulse,4425.15,4428.65,4420.15,120,27,S 4426-34 (1H+15m multi-touch),SL,4428.6,-35
1780525379,2026-06-03 22:22,LONG,A+,resistance-trendline break,4428.83,4425.33,4433.83,93,28,S 4426-34 (1H+15m multi-touch),TP2,4438.8,100
1780527290,2026-06-03 22:54,SHORT,A+,liquidity-sweep reversal,4439.11,4442.11,4434.11,51,17,open,SL,4442.1,-30
1780527422,2026-06-03 22:57,LONG,A+,momentum impulse,4445.59,4442.09,4450.59,85,52,R 4447 (broken lvl/15m EMA50),timeout,4448.2,27
1780530401,2026-06-03 23:46,LONG,A+,momentum impulse,4462.97,4459.47,4467.97,185,33,R 4459-68 (1H+15m highs),SL,4459.5,-35
1780535452,2026-06-04 01:10,LONG,A+,zone-reclaim bounce,4460.32,4457.32,4462.53,139,8,"4459.8 (15m+15mEMA+1H+round, x6)",TP2,4464.0,37
1780540329,2026-06-04 02:32,SHORT,A+,support-trendline break,4459.48,4462.98,4455.47,43,27,"4452.9 (15m+D, x2)",SL,4463.0,-35
1780541879,2026-06-04 02:57,SHORT,A+,liquidity-sweep reversal,4472.56,4475.62,4467.56,97,31,"4469.1 (15m+15mEMA+1H+1HEMA, x7)",SL,4475.6,-31
1780555744,2026-06-04 06:49,LONG,A+,liquidity-sweep reversal,4466.76,4463.53,4471.4,107,32,"4470.1 (15mEMA+1H+1HEMA+round, x4)",timeout,4465.9,-9
1780560188,2026-06-04 08:03,LONG,A+,momentum impulse,4465.09,4461.59,4470.09,56,22,EMA100,SL,4461.6,-35
1780568595,2026-06-04 10:23,SHORT,A+,momentum impulse,4465.15,4468.55,4463.95,69,22,"4469.6 (15m+15mEMA+1H+1HEMA, x5)",rejected,,neg R:R 32p risk/20p into x7 support; RSI31 oversold; dead chop ER0.01; counter-trend
1780572500,2026-06-04 11:28,LONG,A,momentum impulse,4488.24,4484.74,4489.44,150,21,"4480.8 (15m+1H+1HEMA+round, x6)",rejected,,"RSI80 overbought, chasing top of +18p vertical run; R:R upside-down 35p risk/20p into nextR 4489.9; bought into resistance no room"
1780574325,2026-06-04 11:58,LONG,B (open space),resistance-trendline break,4513.41,4509.91,4518.41,141,58,open,rejected,,"RSI83 apex of +290p vertical run, flat regime = buying blow-off top; room great but entry is the climax — want the VAH/4500 retest not the chase"
1780575150,2026-06-04 12:12,SHORT,C-into-zone,PDH liq sweep,4492.48,4495.98,4489.19,153,45,"4495.1 (1H+1HEMA+4H+4HEMA, x10)",rejected,,"C-into-zone: shorting INTO the x10 support shelf (4486-4502), ~6p to floor; RSI37 oversold = bounce risk; not a clean breakdown (no close+reject below 4486)"
1780577634,2026-06-04 12:53,SHORT,C-into-zone,momentum impulse,4504.32,4507.82,4503.12,123,25,"4495.1 (1H+1HEMA+4H+4HEMA, x10)",rejected,,"C-into-zone counter-trend(UP) short INTO 4502/4495 x10 support, ~4p room, not A+; this is a pullback to BUY not short"
1780579762,2026-06-04 13:29,LONG,A+,zone-bounce rejection,4503.41,4500.41,4508.0,78,12,EMA50,TP2,4511.1,77
